system:index,AFG,BGR,LTR,PFG,SHR,TRE,latitude,longitude
46592,3,49,24,13,10,0,32.58661151,-106.8294053
46593,2,53,21,13,9,0,32.58661151,-106.8291358
46594,2,55,19,13,10,0,32.58661151,-106.8288663
46595,2,52,20,14,9,0,32.58661151,-106.8285968
46596,2,49,24,14,9,0,32.58661151,-106.8283273
46597,2,48,24,14,9,0,32.58661151,-106.8280578
46598,2,49,23,14,10,0,32.58661151,-106.8277883
46599,2,50,21,13,10,0,32.58661151,-106.8275188
46600,1,50,21,13,11,0,32.58661151,-106.8272493
46601,1,50,21,14,11,0,32.58661151,-106.8269799
46602,2,49,22,15,10,0,32.58661151,-106.8267104
46603,2,49,21,16,10,0,32.58661151,-106.8264409
46604,2,48,22,16,10,0,32.58661151,-106.8261714
46605,2,47,23,15,10,0,32.58661151,-106.8259019
46606,2,47,23,16,10,0,32.58661151,-106.8256324
46607,2,47,23,17,10,0,32.58661151,-106.8253629
46608,1,47,21,17,12,1,32.58661151,-106.8250934
46609,1,48,19,16,13,0,32.58661151,-106.8248239
46610,1,49,19,15,13,0,32.58661151,-106.8245544
46611,1,50,20,15,12,0,32.58661151,-106.8242849
46612,1,50,20,15,12,0,32.58661151,-106.8240154
46613,1,48,20,16,12,0,32.58661151,-106.8237459
46614,2,46,23,17,11,1,32.58661151,-106.8234764
46615,2,41,22,20,11,1,32.58661151,-106.8232069
46616,3,41,22,21,11,1,32.58661151,-106.8229374
46617,3,42,22,20,10,1,32.58661151,-106.8226679
46618,2,43,22,20,11,1,32.58661151,-106.8223984
46619,2,42,22,20,10,1,32.58661151,-106.8221289
46620,2,39,20,20,11,1,32.58661151,-106.8218595
46621,2,41,19,19,12,1,32.58661151,-106.82159
46622,2,45,18,18,11,1,32.58661151,-106.8213205
46623,2,47,18,16,13,0,32.58661151,-106.821051
46624,2,47,18,17,14,0,32.58661151,-106.8207815
46625,2,46,19,18,12,1,32.58661151,-106.820512
46626,2,45,19,17,13,1,32.58661151,-106.8202425
46627,2,47,19,17,14,1,32.58661151,-106.819973
46628,2,47,19,17,12,1,32.58661151,-106.8197035
46629,2,48,19,16,12,0,32.58661151,-106.819434
46630,2,48,18,16,12,0,32.58661151,-106.8191645
46631,2,47,20,17,12,1,32.58661151,-106.818895
46632,2,45,20,17,12,1,32.58661151,-106.8186255
46633,3,45,21,16,11,1,32.58661151,-106.818356
46634,2,46,21,16,12,1,32.58661151,-106.8180865
46635,2,47,19,14,15,0,32.58661151,-106.817817
46636,2,48,19,14,15,0,32.58661151,-106.8175475
46637,2,47,20,15,15,0,32.58661151,-106.817278
46638,2,46,20,15,15,1,32.58661151,-106.8170086
46639,2,46,20,14,16,0,32.58661151,-106.8167391
46640,2,46,20,15,14,0,32.58661151,-106.8164696
46641,2,46,19,15,14,0,32.58661151,-106.8162001
46642,2,47,18,12,17,0,32.58661151,-106.8159306
46643,2,47,18,10,19,0,32.58661151,-106.8156611
46644,2,46,18,11,19,0,32.58661151,-106.8153916
46645,3,47,18,10,18,0,32.58661151,-106.8151221
46646,2,47,17,8,20,0,32.58661151,-106.8148526
46647,3,49,17,7,20,0,32.58661151,-106.8145831
46648,3,49,17,7,19,0,32.58661151,-106.8143136
46649,3,48,17,8,20,0,32.58661151,-106.8140441
46650,3,46,17,8,21,0,32.58661151,-106.8137746
